symbol,market_cap
RELIANCE,2023579.0
TCS,1244966.0
INFY,671072.0
HDFCBANK,1550299.0
ICICIBANK,1026802.0
SBIN,711292.0
LT,503535.0
KOTAKBANK,438246.0
HINDUNILVR,536048.0
ITC,525968.0
BAJFINANCE,591162.0
ASIANPAINT,219680.0
HCLTECH,467986.0
WIPRO,281477.0
BHARTIARTL,1208599.0
MARUTI,399783.0
SUNPHARMA,400425.0
AXISBANK,382676.0
NTPC,326973.0
POWERGRID,272973.0
TITAN,327988.0
ULTRACEMCO,352165.0
BAJAJFINSV,328266.0
TECHM,165558.0
COALINDIA,242935.0
NESTLEIND,234420.0
TATACONSUM,113361.0
TATASTEEL,200398.0
JSWSTEEL,252407.0
ONGC,307763.0
HDFCLIFE,172180.0
ADANIENT,298530.0
CIPLA,122271.0
BAJAJ-AUTO,235533.0
BPCL,143107.0
GRASIM,196277.0
DIVISLAB,175677.0
HEROMOTOCO,85577.0
UPL,51695.0
BRITANNIA,140419.0
HINDALCO,155251.0
INDUSINDBK,65145.0
DRREDDY,110350.0
EICHERMOT,153905.0
APOLLOHOSP,102143.0
SBILIFE,186391.0
ICICIPRULI,93645.0
M&M,399906.0
ADANIPORTS,308904.0
VEDL,178058.0
